'Use';'ItemID';'ItemName';'lvlReq';'isMaxLVL';'Icon';'Not Used';'Not Used';'Not Used';'Price';'Discount Price';'Used Price';'Money Flags';'Shop Flags';'Time Flags';'Time';'Point';'From Year';'From Month';'From 0';'From Day';'From Hour';'From Minute';'From Second';'From Millisecond';'To Year';'To Month';'To 0';'To Day';'To Hour';'To Minute';'To Second';'To Millisecond';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA'
'1';'1879048192';'Power Ring';'0';'0';'auxpart0_128';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0'
'1';'1879048193';'Control Ring';'0';'0';'auxpart0_129';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'256';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0'
'1';'1879048194';'Impact Ring';'0';'0';'auxpart0_130';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0'
'1';'1879048195';'Spin Ring';'0';'0';'auxpart0_131';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'0';'512';'0';'0';'0';'0';'0';'0';'0';'0';'0'
'1';'1879048196';'Curve Ring';'0';'0';'auxpart0_132';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0'
'1';'1879048197';'Fortune Ring';'0';'0';'auxpart0_133';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'120';'0';'0';'0';'0'
'1';'1879048198';'Pangya Ring';'0';'0';'auxpart0_134';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'110';'0';'0';'0'
'1';'1879048199';'Bonus Ring';'0';'0';'auxpart0_135';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'100';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'200';'0';'0'
'1';'1879048204';'Platinum ring ';'0';'0';'auxpart0_012';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'5';'0';'0';'0';'0';'0'
'1';'1879048205';'Platinum ring ';'0';'0';'auxpart0_013';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'5';'0';'0';'0';'0';'0'
