'Num item?';'Item?';'Amount?';'Price'
'1';'436207821';'1';'700'
'1';'436207822';'1';'250'
'1';'436207823';'1';'50'
'6';'335544328';'1';'50'
'6';'335544330';'1';'250'
'6';'335544334';'1';'50'
'6';'335544332';'1';'50'
'6';'335544337';'1';'30'
'6';'335544338';'1';'30'
'6';'335544342';'1';'50'
'6';'335544346';'1';'50'
'6';'335544350';'1';'50'
'6';'335544351';'1';'50'
'6';'335544352';'1';'50'
'6';'335544354';'1';'50'
'6';'335544369';'1';'50'
'6';'335544370';'1';'60'
'6';'335544371';'1';'50'
'6';'335544465';'1';'50'
'6';'335544337';'1';'30'
'7';'335544493';'10';'500'
'7';'335544493';'20';'300'
'7';'335544493';'30';'100'
'7';'436207907';'1';'100'
