'ItemID';'ItemDescription'
'67108864';'￠ﾻ￧ﾹﾵ￑ￇￅ￐ﾤￃﾾￗ￩ﾹﾰￒﾹﾷￕ￨￁ￕ￣ￋ￩ￊￓￋￃ￑ﾺﾼ￙￩￠ￅ￨ﾹ￠ￃￔ￨￁￡ￃﾡ ￁ￕﾤￇￒ￁ￊￒ￁ￒￃﾶﾵ￨ￒﾧ￦ ￍￂ￙￨￣ﾹￃ￐ﾴ￑ﾺﾡￅￒﾧ￡ￅ￐￁ￕﾢ￩ￍﾴￕﾤￗￍￊￒ￁ￒￃﾶﾤￇﾺﾤ￘￁ﾡￒￃﾵￕￅ￙ﾡ￤ﾴ￩ﾧ￨ￒￂ ￠ﾢￒﾶ￙ﾡﾪ￑ﾡﾪￇﾹ￁ￒﾷￕ￨ﾴￔﾹ￡ﾴﾹﾻ￑ﾧￂ￨ￒ￢ﾴￂ Pippin'
'67108865';'ﾵ￑ￇￅ￐ﾤￃﾾￗ￩ﾹﾰￒﾹￍￕﾡﾵ￑ￇￋﾹￖ￨ﾧￊￓￋￃ￑ﾺﾼ￘￩￠ￅ￨ﾹ￁ￗￍ￣ￋ￁￨ ﾤￇￒ￁ￊￒ￁ￒￃﾶￊ￨ￇﾹ￣ￋﾭ￨￠ￋ￁ￗￍﾹﾡ￑ﾺ "ﾹ￙ￃￔ" ￊￒ￁ￒￃﾶﾵￕￅ￘ﾡ￢ﾤ￩ﾧ￤ﾴ￩ﾴￕﾡￇ￨ￒ ￡ﾵ￨ﾵￕ￤ﾴ￩￤￁￨￤ﾡￅ￠ﾷ￨ￒ ﾫￖ￨ﾧ Kuma ￠ﾻ￧ﾹﾤﾹﾾￒ￁ￒ.'
'67108866';'"ￍￒ￠ﾪￍￃ￬" ￠ﾻ￧ﾹﾵￓￃￇﾨﾷￕ￨ￃ￑ﾡﾡￕￌￒﾡￍￅ￬﾿￠ﾻ￧ﾹﾪￕￇￔﾵﾨￔﾵ￣ﾨ ￃ￑ﾡﾤￇￒ￁ￂ￘ﾵￔﾸￃￃ￁￠ﾻ￧ﾹﾷￕ￨ￊ￘ﾴ ￡ￅ￐ﾪￍﾺﾷￓ￣ￋ￩ﾼ￙￩ﾤﾹ￡ﾻￅﾡ￣ﾨﾺ￨ￍￂ￦ ￢ﾴￂￃￇ￁￡ￅ￩ￇ "ￍￒ￠ﾪￍￃ￬" ￠ﾻ￧ﾹﾵ￑ￇￅ￐ﾤￃￊￓￋￃ￑ﾺﾼ￙￩ﾷￕ￨ﾪￍﾺﾾￅ￑ﾧ￡ￅ￐ﾡￒￃￊﾻￔﾹ'
'67108867';'￠ﾸￍ￠ﾻ￧ﾹￊￒￇￊￇￂﾷￕ￨￁ￕ￣ﾽ￨ﾽ￑ﾹￋￅￒￂￍￂ￨ￒﾧﾷ￑￩ﾧ￡ￍￃ￬￢ￎￊ￠ﾵﾨ, ﾾﾹ￑ﾡﾧￒﾹﾸﾹￒﾤￒￃￃￇ￁￤ﾻﾶￖﾧﾾￂￒﾺￒￅ ￡ﾵ￨￠ﾸￍﾡ￧ￋ￑ﾹ￁ￒ￠ￍￒﾴￕ￣ﾹﾡￕￌￒﾡￍￅ￬﾿ﾷￕ￨￠ﾸￍￃ￑ﾡ ￠ﾸￍ￁ￕﾤￇￒ￁ￊￒ￁ￒￃﾶ￣ﾹﾡￒￃﾤￇﾺﾤ￘￁ﾷￔ￈ﾷￒﾧￅ￙ﾡ￤ﾴ￩￠ﾻ￧ﾹￍￂ￨ￒﾧﾴￕ ￡ﾵ￨ﾺￒﾧﾷￕ￁￑ﾹﾡ￧￠ﾻ￧ﾹﾨ￘ﾴￍ￨ￍﾹﾢￍﾧ￠ﾸￍﾴ￩ￇￂ￠ﾪ￨ﾹﾡ￑ﾹ'
'67108868';'ﾤￇￒ￁￣ﾽ￨ﾽ￑ﾹﾷￕ￨ﾨ￐￠ﾻ￧ﾹﾹ￑ﾡﾺￔﾴﾢￍﾧ "￡￁￧ﾡﾫ￬" ￤ﾴ￩￠ﾻￅￕ￨ￂﾹ￤ﾻ￠￁ￗ￨ￍ￠ﾢￒ￁ￒﾾﾺﾡ￑ﾺ￠ﾷﾹﾹￔￊ ￡ﾵ￨ￊ￘ﾴﾷ￩ￒￂ￠ﾢￒﾡ￧￠ￅￗￍﾡﾡￕￌￒﾡￍￅ￬﾿ﾷￕ￨￠ﾢￒ￢ﾻￃﾴﾻￃￒﾹ ﾵ￑ￇ￠ﾢￒ￠ￍﾧ￁ￕﾷ￑￩ﾧﾾￅ￑ﾧ￡ￅ￐ﾤￇￒ￁￡￁￨ﾹￂￓ ￡ﾵ￨ﾡ￧￁ￕﾨ￘ﾴￍ￨ￍﾹﾷￕ￨ﾡￒￃￊﾻￔﾹﾷￕ￨￠ﾢￒￂ￑ﾧﾵ￩ￍﾧﾽￖﾡﾽﾹￍￕﾡ￁ￒﾡ'
'67108869';'￠ﾸￍ￠ﾻ￧ﾹ￠ﾴ￧ﾡﾼ￙￩ￋﾭￔﾧﾷￕ￨ﾹ￨ￒￃ￑ﾡ￡ￅ￐￁ￕ￠ￊﾹ￨ￋ￬￣ﾹﾵ￑ￇ￠ￍﾧ￣ﾹ￠ￃￗ￨ￍﾧﾤￇￒ￁ﾴￗ￩ￍￃ￑￩ﾹ￤￁￨ￂￍ￁￣ﾤￃ ﾾ￨ￍﾤￗￍﾤﾹﾷￕ￨￠ﾸￍￃ￑ﾡ￁ￒﾡﾷￕ￨ￊ￘ﾴￃￍﾧￅﾧ￁ￒﾡ￧ﾤￗￍﾻￗﾹ￣ￋﾭ￨ﾷￕ￨￠ﾸￍￅￒﾡ￤ﾻ￤ￋﾹ￁ￒ￤ￋﾹﾴ￩ￇￂ￠ￊ￁ￍ ﾶￖﾧ￡￁￩ￇ￨ￒ￠ﾸￍￂ￑ﾧ￠ﾴ￧ﾡ￡ﾵ￨ﾡ￧￁ￒﾡﾴ￩ￇￂﾾￅ￑ﾧ￡ￋ￨ﾧￊￒￂ Control'
'67108870';'ￊￒￇ￁ￋ￑￈ﾨￃￃￂ￬￡ￋ￨ﾧ￠ﾡￒ￐ﾻ￑ﾧￂ￨ￒ ￠ﾸￍ￠ﾻ￧ﾹﾼ￙￩ﾪￓﾹￒﾭﾴ￩ￒﾹ￠ￇﾷￂ￬￁ﾹﾵ￬ﾫￖ￨ﾧ￁ￒﾾￃ￩ￍ￁ﾡ￑ﾺﾹﾡﾾￔￃￒﾺﾤ￙￨￣ﾨ ﾤￇￒ￁￢ﾴﾴ￠ﾴ￨ﾹﾢￍﾧ￠ﾸￍﾹ￑￩ﾹￍￂ￙￨ﾷￕ￨ﾷ￨ￒﾷￒﾧￍ￑ﾹ￡ￊﾹﾨ￐ﾹ￨ￒￃ￑ﾡ￡ￅ￐ﾤￇￒ￁￡￁￨ﾹￂￓ￣ﾹﾡￒￃﾵￕￅ￙ﾡ'
'67108871';'ﾷￒￂￒﾷﾢￍﾧﾨￍ￁ﾻￔ￈ￒﾨﾷￕ￨ﾶ￙ﾡﾼﾹￖﾡ ﾼ￙￩ﾷￕ￨ￊ￙ﾭ￠ￊￕￂﾤￇￒ￁ﾷￃﾧﾨￓ￤ﾻ￠￁ￗ￨ￍ￠ￋﾵ￘ﾡￒￃﾳ￬ﾤￃ￑￩ﾧￍﾴￕﾵ ￠ﾢￒ￁ￒﾷￕ￨￠ﾡￒ￐ﾻ￑ﾧￂ￨ￒﾤ￩ﾹￋￒﾤￇￒ￁ﾷￃﾧﾨￓﾷￕ￨ￋￒￂ￤ﾻﾢￍﾧ￠ﾢￒ'
'67108872';'￤ￍﾴￍￅￊￒￇￊ￘ﾴﾹ￨ￒￃ￑ﾡ ￠ﾨ￩ￒﾢￍﾧﾼ￁ￂￒￇￊￕﾪ￁ﾾ￙ﾷￕ￨￁ￕ￡﾿ﾹ￦ ﾨￓﾹￇﾹ￁ￒﾡﾤￅ￑￨ﾧ￤ﾤￅ￩￠ﾸￍ ￤￁￨ￇ￨ￒﾤￃ￑￩ﾧ￣ﾴﾷￕ￨￠ﾸￍￂￗﾹﾺﾹ￠ￇﾷￕ ￠ﾸￍﾨ￐ﾷￓ￣ￋ￩ￊￒￂﾵￒﾹ￑ﾺￅ￩ￒﾹﾨ￑ﾺﾨ￩ￍﾧￍￂ￙￨ﾷￕ￨￠ﾸￍ￠ﾾￕￂﾧﾼ￙￩￠ﾴￕￂￇ'
'67108873';'?? ??? ??? ??? ???????. ??? ??? ???? ???? ??? ?????, ??? ?? ?? ??? ????. ??? ???? ??? ??? ???? ???? ?? ??? ????? ??? ??? ??? ???? ??????'
