'Use';'ItemID';'ItemName';'lvlReq';'isMaxLVL';'Icon';'Not Used';'Not Used';'Not Used';'Price';'Discount Price';'Used Price';'Money Flags';'Shop Flags';'Time Flags';'Time';'Point';'From Year';'From Month';'From 0';'From Day';'From Hour';'From Minute';'From Second';'From Millisecond';'To Year';'To Month';'To 0';'To Day';'To Hour';'To Minute';'To Second';'To Millisecond';'Model';'Amount';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'Texture #1';'Texture #2';'Texture #3';'Texture #4';'Texture #5';'Texture #6';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'Equip With #1?';'Equip With #2?';'NA';'NA';'NA';'NA'
'1';'134218752';'Hair';'0';'0';'';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'5';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0.0';'0';'0';'0';'0';'0';'0';''
'1';'134219264';'Comp. Hair';'0';'0';'';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'5';'0';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0.0';'0';'0';'0';'0';'0';'0';''
'1';'134219776';'Cowboy Hat';'0';'0';'m_ha_a01';'0';'0';'0';'1100';'0';'0';'2';'3';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_01-01.jpg';'';'';'2#m_cap_01-01.jpg';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219777';'Baseball Cap';'0';'0';'m_ha_a02';'0';'0';'0';'5700';'0';'0';'2';'3';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-01.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219778';'Blue Cowboy Hat';'0';'0';'m_ha_a01_02';'0';'0';'0';'5900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_01-02.jpg';'';'';'2#m_cap_01-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'';'0';'0';'1';'0';'0';'0';''
'1';'134219779';'Duck Baseball Cap';'0';'0';'m_ha_a02_02';'0';'0';'0';'12900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-02.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219780';'Pangya Cap';'0';'0';'m_ha_a02_03';'0';'0';'0';'12900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-03.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'';'0';'0';'1';'0';'0';'0';''
'1';'134219781';'Silvia Cap';'0';'0';'m_ha_a02_04';'0';'0';'0';'12900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-04.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219782';'Machine Cap';'0';'0';'m_ha_a02_05';'0';'0';'0';'10900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-05.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'';'0';'0';'1';'0';'0';'0';''
'1';'134219783';'Double Lined Cap';'17';'0';'m_ha_a02_06';'0';'0';'0';'12000';'0';'0';'2';'3';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-06.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
